Intent	Sentence
consulto_medico	Avrei bisogno di un consulto medico
errore_aggiunta_familiare	Posso inserire tra i famigliari mia mamma?
consegna_a_domicilio	Come funziona la consegna a domicilio?
info_malattie	Quali sono i sintomi della febbre gialla?
addebito_bancario_spesa	addebito bancario, ho ricevuto due email che vuol dire
carrello_spesa	Spesa terminata non trovo l'icona carrello
provenienza_spesa	Da quale supermercato arriva il la mia spesa?
insoddisfazione_ordine	Cosa posso fare se non sono soddisfatto del mio ordine?
errore_password	Non riesco ad accedere al mio profilo
familiari	ciao come faccio a creare un profilo per mio figlio?
consegna_premi	Come faccio a richiedere i premi?
tracking	Come faccio a tracciare il mio ordine?
errore_pagamento	non riesco a pagare sul sito
consegna_quantita	limiti di peso per spesa a casa?
consulto_medico	Vorrei una dieta per snellire fianchi e cosce
errore_generico_app	uwell va in crash sul mio cellulare
errore_pagamento	Vorrei pagare ma quando clicco su vai alla cassa non succede niente
limite_minimo	Qual è la spesa minima?
mancato_accredito_punti	I punti dell'ultima spesa non sono stati ancora aggiornati
errore_codice_segreto	Vorrei inserire il codice segreto ma non riesco
lista_preferiti	Si è cancellata la lista della spesa
codice_fiscale	inserimento tessera?
ticket	i ticket li accettate?
problema_sito	Il sito non funziona
citta_consegna	É possibile acquistare da giugliano in Campania?
consegna_quantita	limiti per la spesa online?
lista_farmaci_consegna_a_domicilio	elenco farmaci per l'ipertensione
fattura_elettronica	e-fatture
consegna_costo	Prezzo consegna a casa ?
modifica_email	è possibile cambiare l'email?
acquisto_senza_carta_piu	Posso acquistare senza carta fedeltà?
consegna_quantita	quante bottiglie di acqua posso ordinare al massimo?
errore_codice_fiscale	Vorrei inserire il codice fiscale ma non riesco
modifica_dati_anagrafici	Come mai non riesco ad inserire i dati anagrafici?
reso_consegna_domicilio	non mi è arrivata la consegna
contatti_punti_vendita	Avrei bisogno della mail del negozio
prodotto_irreperibile	Come mai non trovo un prodotto che desideravo acquistare?
consegna_piano	Posso chiedere che la spesa mi venga portata fino al piano del mio appartamento?
logout_carrello	la spesa resta nel carrello
rimozione_dati	Desidero non ricevere più email da Uwell
costo_servizio	Questo servizio è a pagamento?
scaricare_app	Come si scarica l'applicazione
ricerca_prodotti	sarei interessato al prodotto Pesto alla Genovese NOVELLA
errore_password	Non accede alla mia mail
farmacia_preferita	Non riesco ad inserire la mia farmacia preferita anche se me la da come opzione nella mia zona ?
prescrizione_medica	farmaco con ricetta?
citta_consegna	Consegnate a domicilio a Druento la spesa on-line?
collaborazioni	Avete bisogno di persone che possono lavorare per voi?
lista_preferiti	Dove trovo la lista della spesa che ho fatto?
modalita_pagamento	Metodo di pagamento
citta_consegna	Si può fare la spesa online a Rieti?
fasce_orarie_consegna_a_casa	Volevo sapere gli orari di consegna
unita_peso	Verdure con peso predefinito?
citta_consegna	Vorrei sapere se a Vicenza c'è un un punto vendita che effettua servizio a domicilio 
acquisto_senza_carta_piu	Se faccio la spesa senza carta fedeltà gli sconti mi verranno comunque applicati?
fare_spesa	Come acquistare
citta_consegna	Perché il servizio Crai Spesa Online non è attivo su tutto il territorio nazionale?
fattura	Fattura?
consegna_a_domicilio	vorrei ordinare dei farmaci
problema_sito	metto le cose nel carrello e scompaiono
no_farmacia_intorno_a_me	Non ci sono farmacie intorno a me come mai?
limite_minimo	Limite di spesa minimo?
reso_prodotti	Come richiedo il reso?
privacy	Quanto viene protetta la mia privacy?
problema_sito	Le immagini del catalogo non scorrono, non sono accessibili
promozioni	promozioni in corso?
promozioni	Vorrei poter sfogliare il volantino Crai online
rimozione_dati	Non capisco come mai i miei dati compaiono anche se io non mi sono mai iscritta
ricetta	Posso chiedervi una ricetta?
uso_improprio_email	come fate ad avere la mia email?
volantino	dove posso visualizzare il catalogo offerte?
errore_credenziali	Errore credenziali che faccio?
modalita_pagamento	Posso pagare in contanti direttamente al punto vendita?
sconti_non_applicati	Non mi sono stati applicati gli sconti
errore_codice_segreto	Ho problemi con l'inserimento del codice segreto
errore_chiusura	Ho problemi di chiusura della pagina per il cambio della password
fasce_orarie_consegna_a_casa	Se faccio l'ordine sabato lo posso ritirare il giovedi seguente?
errore_conclusione_ordine	Vai alla cassa sepsa online non funziona
senza_glutine	Vorrei ordinare pasta fresca senza glutine
info_per_farmacie	sono un farmacista, come inserire la mia farmacia su uwell?
tracking	come faccio a sapere quando arriva un ordine?
reso_prodotti	reso prodotti
complimenti	è molto utile il vostro servizio
errore_password	Ho cambiato la password ieri ma mi dice che è sbagliata
errore_conclusione_ordine	ho ricevuto un messaggio che l'ordine è stato annullato da me, come mai?
errore_password	non mi riconosce le credenziali
errore_aggiunta_carrello	Ho fatto un ordine per circa 162 euro ma alcuni prodotti sono stati cancellati
consulto_medico	Per i casi allegici che già anno gola rossa e naso che cola quali dono altri sintomi preoccupanti?
errore_conclusione_ordine	Non conclude l'acquisto
fattura_elettronica	richiesta e-fatture
carta_fedelta_inserimento	Carta fedeltà inserimento
mancato_accredito_punti	Carta fedeltà punti ancora non accreditati
consegna_piano	La spesa mi verrà portata al mio appartamento?
app	l'app è disponibile da app store?
hr	vorrei lavorare con voi
errore_chiusura	Ho problemi con la chiusura
farmacia_preferita	Come mai mi dà la farmacia nella mia zona ma non me la fa inserire come farmacia preferita?
errore_schermata_indisponibile	Problemi con schermata
ricerca_prodotti	formaggini mio
info_per_farmacie	Vorrei sapere quali sono le modalità di adesione per la mia farmacia
modifica_ordine	Ma nemmeno aggiunre prodotti?
consegna_piano	Vorrei conferma della consegna sulla porta di casa
fare_spesa	Dov’è il comando per controllare la lista della spesa e il totale della spesa?
citta_consegna	Città in cui consegnate?
errore_password	Non riesco ad accedere mi dice password errata
errore_codice_fiscale	Non è possibile che il mio codice fiscale sia errato
info_negozi	posso avere informazioni sul negozio?
cancellazione_account	Non riesco a trovare la sezione per cancellare l'account
contatti	Operatore
ecommerce	i farmaci vengono venduti direttamente dalla farmacia?
errore_aggiunta_carrello	Sul carrello ho aggiunto dei prodotti ma non vengono contabilizzati sul prezzo totale del carrello
reso_consegna_domicilio	vorrei restituire un prodotto
reso_prodotti	Reso merce
consulto_medico	Non riesco adormire
lista_farmaci_consegna_a_domicilio	Vorremmo aggiungere farmaci al vostro portale
fasce_orarie_consegna_a_casa	fasce orarie per spesa a casa
a_chi_si_rivolge	a chi si rivolge
modifica_password	Voglio cambiare password
area_non_coperta	Il servizio non è attivo mi posso comunque registrare ?
volantino	Non riesco a trovare il volantino
errore_schermata_indisponibile	su samsung galaxy s8 è inutilizzabile continua ad uscire il messaggio che la schermata da me voluta non è disponibile di riprovare più tardi, va in crash e si chiude .
info_malattie	Andrò a fare un viaggio in Messico mi devo vaccinare contro la febbre gialla?
problema_consegna	ordine non consegnato
vaccini_viaggi	Vorrei avere maggiori informazioni sui vaccini 
saldo_punti	C'è un'area in cui posso avere il saldo punti?
citta_consegna	Quali sono le zone di copertura del servizio?
errore_credenziali	Ho problemi con le credenziali che posso fare?
citta_consegna	consegnate la spesa a casa nel comune di ?
modalita_pagamento	Che tipo di pagamento
fattura_elettronica	come faccio a richiedere la e-fatture
privacy	info utilizzo dati sensibili
lista_preferiti	Vorrei avere una lista di prodotti preferiti.
accesso_limitato	quando clicco su un articolo il telefono scrive non puoi accedere, accesso limitato. è un problema mio di impostazioni o della app?
errore_conclusione_ordine	Non mi fa andare alla cassa
consegna_costo	Quanto costa la spedizione?
contatti	Vorrei contattare il negozio
fattura	è possibile richiedere la fattura?
modifica_dati_anagrafici	Non riesco ad inserire i dati come medico, farmacia della mia zona ecc
mancato_accredito_punti	Mancato accredito punti carta
citta_consegna	In che zone consegnate?
consegna_premi	Mi dici come posso avere i premi del catalogo con la spesa ?
sconti_non_applicati	Non mi applica lo sconto del 20 % per acquisti superiori ad euro 70 come mai?
citta_consegna	Vorrei sapere se per Cagliari è attivo il servizio a domicilio
cancellazione_account	Potete cancellare il mio account?
fattura	Come posso avere la fattura?
fare_spesa	fare la spesa
errore_codice_fiscale	Non riesco proprio ad inserire il codice fiscale
accesso_limitato	Mi compare la scritta accesso limitato cliccando dal telefono, problema mio o di app?
costo_servizio	Il vostro servizio è a pagamento?
codice_fiscale	come faccio ad inserire la tessera sanitaria?
iniziative_commerciali	Vogliamo proporvi delle promozioni commerciali
modifica_password	devo creare una nuova password
pagina_personale	Pagina personale ?
complimenti	complimenti per l'app
errore_pagamento	Problemi pagamento
catalogo_premi	dove trovo il catalogo punti?
errore_conclusione_ordine	Ho un problema con l'ordine
registrazione_senza_carta	Posso effettuare la registrazione anche se non ho la carta?
errore_generico_app	Quando visualizzo un articolo si blocca
ricerca_prodotti	Polaretti
cambiare_orario_consegna	Non riesco a cambiare il giorno per la consegna a casa
iniziative_commerciali	Vorrei rendermi utile per effettuare le consegne a domicilio.
servizio_di_consegna	se mi faccio spedire un farmaco con ricetta avete bisogno di prenderla?
registrazione_senza_email	Vorrei registrarmi ma non ho l'email
consegna_costo	La consegna si paga?
no_corrispondenza_prodotti	I prodotti online non sono disponibili in negozio
modifica_ordine	Vorrei modificare l'ordine
ecommerce	uwell ecommerce
fasce_orarie_consegna_a_casa	Quali sono le fasce orarie ?
lista_farmaci_consegna_a_domicilio	ho bisogno di un'aspirina. Come posso ordinarla?
operatore	Ricontattetemi
ricerca_prodotti	Prezzo mandorlato balocco
problema_consegna	L'ordine doveva arrivare alle 11
cancellazione_account	info per cancellazione account
cancellazione_newsletter	Chiedo cortesemente di essere cancellato dalla newsletter. Cordialmente
info_ingredienti_allergeni	info ingredienti allergeni
orari_negozi	Quali sono gli orari per il ritiro in negozio
saldo_punti	é possibile fare un saldo punto?
modalita_pagamento	Non riesce a darmi come pagare
modifica_ordine	modifica ordine
codice_sconto	Vorrei inserire il codice sconto
tracking	 vorrei sapere quando consegnerete il mio ordine?
errore_metodo_pagamento	Cosa vuol dire metodo di pagamento non abilitato?
errore_registrazione_app	Ho problemi con la registrazione sia da app che da sito
errore_registrazione_app	Ho problemi di registrazione
controindicazioni	la pastiglia della pressione mi dà problemi di cefalea
errore_credenziali	problema con le credenziali
medico_preferito	come aggiungo il mio medico di famiglia
contenuti_blog	è possibile scrivere articoli per il vostro blog?
errore_password	Non mi accetta la password inserita
consegna_quantita	spesa online limiti?
mancato_accredito_punti	Non mi sono stati ancora accreditati i punti fedeltà sulla carta
annullare_ordine	Annullare
registrazione_utenti	Vorrei sapere come devo fare per utilizzare il vostro servizio
reso_consegna_domicilio	Come posso effettuare un reso?
errore_generico_app	quando accedo all'articolo visualizzo una schermata di errore
errore_aggiunta_carrello	non visualizzo i prodotti dentro il carrello
logout_carrello	se esco senza aver completato l'ordine che succede?
modalita_pagamento	modalità di pagamento?
fasce_orarie_consegna_a_casa	vi sono delle fasce orarie predefinite?
consulto_medico	Mio padre ha le gengive tutte gonfie e ha preso una Tachipirina da mille
ricerca_prodotti	Nocciole
logout_carrello	si può salvare la spesa?
iniziative_commerciali	Come facciamo a collaborare con voi?
info_per_farmacie	Ho una farmacia e avrei bisogno di parlare con qualcuno
consegna_spesa	Come funziona la consegna?
utente_bloccato	L'utente da me registrato sembra essere bloccato
registrazione_utenti	Vorrei registrarmi per utilizzare il vostro servizio
sconti_non_applicati	Devo fare la spesa prima e poi mi danno lo sconto di 10 euro?
scaricare_app	app info download
promemoria	Vorrei attivare un promemoria per un farmaco
stile_di_vita	Come posso richiedere delle info sui prodotti in base allo stile di vita?
sei_un_robot	sei una persona?
errore_pagamento	mi respinge la carta
modifica_password	come si fa a modificare la password?
info_registrazione	Mi vorrei registrare sul vostro sito
cancellazione_account	visto che elimino l'applicazione per motivi personali, ecco vi sarei grato se potete eliminare i miei dati.
citta_consegna	Milano non è tra la lista di città
errore_apertura_pagina	Non si apre la pagina per il cambio della password
codice_sconto	dove posso inserire il codice sconto?
cancellazione_account	Vorrei cancellare la mia iscrizione
privacy	Tutela della Privacy?
prodotti_non_disponibili	Non ho acconsentito a cambiare prodotti non disponibili
addebito_bancario_spesa	Mi è stata mandata una doppia email di addebito
errore_conclusione_ordine	Non trovo il mio ordine
consegna_spesa	Informazioni sulla consegna a domicilio
consegna_a_domicilio	da quali città è possibile ordinare?
errore_codice_segreto	Il codice segreto è sbagliato
errore_metodo_pagamento	Errore metodo di pagamento
fasce_orarie_consegna_a_casa	Fasce orarie per la consegna?
consegna_piano	Spesa fino al mio interno?
promemoria	Mi aiuti ad inserire un promemoria per un farmaco?
unita_peso	peso verdure predefinito
cancellare_registrazione	è possibile cancellarsi?
prodotto_irreperibile	Non riesco a trovare un prodotto come faccio?
utente_bloccato	"Come mai l'utente ha un lucchetto rosso sopra ne "" la mia famiglia""?"
errore_credenziali	Non posso inserire le credenziali
cancellazione_account	Vorrei cancellare l'app e di conseguenza che i miei dati fossero cancellati
cambiare_orario_consegna	Posso posticipare l'orario di consegna della spesa?
coupon_omaggio	Come scarico il coupon?
cosa_cucino	Vorrei sapere cosa cucinare
citta_consegna	Il servizio della spesa a casa funziona?
citta_consegna	negozi a cremona spesa a domicilio
registrazione_utenti	Posso sapere come si utilizza il vostro servizio?
modifica_preferiti	Come mai non riesco a salvare i miei dati tra i quali medico e farmacia preferita?
codice_fiscale	Come si inserisce il codice fiscale
annullare_ordine	si può sospendere la spesa?
citta_consegna	Mi puoi dire i punti vendita per treviso quali sono?
info_vetrina	Prodotti in vetrina
registrazione_senza_carta	Non ho la carta fedeltà posso comunque registrarti?
contenuti_blog	Mi dici come posso pubblicare contenuti sul blog?
saldo_punti	Mi sono registrata ma non accetta il numero della carta per sapere quanti punti ho
registrazione_senza_email	Voglio registrarmi ma non ho un email
app	dove scarico l'app?
coupon_omaggio	Come scarico i coupon?
ricerca_prodotti	Lenzuola
quando_punti	Entro quanto l'accredito dei punti spesa?
consulto_medico	Soffro di insonnia
consulto_medico	come posso curare la psoriasi?
agenda_bloccata	non capisco come mai la funzione agenda non funziona mai e devo salvare gli appuntamenti sul calendario del telefono risolvete
fattura_elettronica	Vorrei richiedere la fattura elettronica
prescrizione_medica	ho bisogno di farmaci con prescrizione
esito_ordine	Ordine andato a buon fine?
lista_farmaci_consegna_a_domicilio	posso avere info sugli integratori
prodotto_scaduto	il Prodotto è scaduto
errore_codice_segreto	problema codice segreto
fattura	Richiesta fattura?
info_per_farmacie	Ho problemi con la registrazione della mia farmacia
problema_configurazione_app	Posso scaricare l'app da iphone 6
modifica_preferiti	Mi sono iscritta ma non riesco a salvare i dati del medico
errore_password	Sto provando ad entrare nell’account che ho creato mano dice che il nome utente è sbagliato?
app	scaricare app
cancellazione_account	Vorrei non apparire più presso il vostro sito
consegna_a_domicilio	Come funziona la consegna a casa?
logout_carrello	Come faccio a ritrovare il mio carrello se non mi ero registrata?
coupon_omaggio	Avete dei coupon omaggio?
familiari	Quali persone possono essere inserite nella lista dei miei familiari?
visita_supermercato	Posso visitare il supermercato per poi decidere se effettuare la registrazione?
promemoria	Posso inserire un promemoria per un farmaco?
operatore	Avrei bisogno di essere contattato al più presto
ecommerce	si tratta di un e-commerce quindi compro da sito?
accesso_limitato	Mi compare la scritta accesso limitato che devo fare ?
utente_bloccato	Continua a tener bloccato mio figlio anche se è diventato maggiorenne
consulto_medico	cosa devo fare in caso di intestino pigro?
modifica_ordine	come posso modificare il mio ordine?
errore_chiusura	non si chiude la pagina dell'armadietto digitale
cambiare_orario_consegna	Ho bisogno di modificare l'orario della consegna della spesa.
consulto_medico	come posso curare la febbre gialla
quando_punti	In quanto tempo mi saranno accreditati i punti della spesa?
modalita_pagamento	Quali metodi di pagamento accettate ?
registrazione_senza_carta	Posso registrarmi anche se non ho la carta fedeltà?
fasce_orarie_consegna_a_casa	Quando mi vengono spediti i prodotti?
estensione_geografica	Potrò usufruire del vostro servizio anche in altre città ?
medico_preferito	aggiunta medico preferito
promozioni	la spesa che effettuo on line può usufruire delle promozioni della settimana?
problema_accesso_app	Non riesco ad accedere all'app
consegna_spesa	Vorrei sapere come avviene la consegna a casa
scontrino_fiscale	lo scontrino deve essere fiscale?
info_registrazione_azienda	Se siamo un'azienda come facciamo a registrarci?
prescrizione_medica	se il farmaco che devo ordine ha bisogno della ricetta?
errore_apertura_pagina	Vorrei accedere alla pagina di conferma email
info_malattie	Sono già stata vaccinato contro la febbre gialla, mi devo rivaccinare?
limite_minimo	Qual è il limite minimo della mia spesa?
problema_sito	Perchè non mi lascia entrare oggi
ricerca_prodotti	Pannolini
fattura	Posso richiedere la fattura ?
registrazione_senza_carta	Non possiedo la Carta Fedeltà, posso registrarmi ugualmente?
errore_metodo_pagamento	Il mio circuito di pagamento non è tra i disponibili
modalita_pagamento	Vari metodi di pagamento?
citta_consegna	Volevo sapere in quali città posso usufruire del vostro servizio
codice_fiscale	Puoi dirmi come si inserisce il codice fiscale o la tessera sanitaria?
errore_credenziali	Ho un problema con l'inserimento delle mie credenziali
email_conferma_registrazione	Email conferma registrazione
info_malattie	Ho bisogno di sapere se è necessario il vaccino contro il tetano
area_non_coperta	Posso registrarmi anche se il servizio non è attivo?
citta_consegna	In quali città si può usufruire del servizio?
disponibilita_prodotti	Posso sapere la disponibilità di un prodotto in uno specifico punto vendita?
info_registrazione	Non sono riuscito a registrarmi
hr	Hr
addebito_bancario_spesa	Come faccio a sapere se l'ordine è stato preso in carico?
importo_pagato_diverso	ho pagato più della fattura
a_chi_si_rivolge	destinatario
errore_codice_segreto	errore codice segreto
registrazione_senza_email	Posso registrarmi se non ho una email?
errore_codice_fiscale	Ma perchè mi dice che il codice fiscale non è valido?
disponibilita_prodotti	Disponibilità prodotto
profilo_salute	profilo salute
visita_supermercato	Visitare prima di registrarsi
consulto_medico	Avrei bisogno di un farmaco per il reflusso
no_corrispondenza_prodotti	No corrispondenza prodotto online e negozio
info_per_farmacie	Vorrei che la mia farmacia aderisse al vostro programma
cambiare_orario_consegna	Voglio che arrivi dopo
addebito_bancario_spesa	Se ho ricevuto due email di addebito bancario mi addebiterete la spesa due volte?
fasce_orarie_consegna_a_casa	quando devono essere consegnati i prodotti?
hr	Sono un vostro fornitore e vorrei chiedere l'indirizzo email per una proposta
ricerca_prodotti	Cerco il ginger crai e non lo trovo in lista
senza_glutine	Vorrei vedere i vostri prodotti senza glutine
problema_configurazione_app	Uwell funziona con samsung
info_negozi	Se ordino la spesa potete portarmela a casa?
errore_aggiunta_familiare	Ho problemi con l'aggiunta dei miei familiari
ricerca_prodotti	Sciroppo d'acero
annullare_ordine	Ho fatto due ordini ma l'altro è da annullare
errore_aggiunta_familiare	come aggiungo mio papà sull'app
consulto_medico	Vorrei un prodotto per perdere peso
errore_aggiunta_familiare	Non riesco ad aggiungere altri familiari mi aiuti?
farmacia_preferita	Ho problemi con l'inserimento della mia farmacia preferita
errore_apertura_pagina	non riesco a confermare una volta arrivata mail. la pagina non risponde. cosa devo fare?
info_newsletter	come posso iscrivermi alla newsletter?
citta_consegna	 consegnate al 95121?
collaborazioni	Come faccio a diventare un vostro rider ?
operatore	Info reclamo
disponibilita_prodotti	Vorrei sapere se questo prodotto è disponibile
registrazione_senza_carta	Posso comprare online senza carta crai?
nome_utente	Come recupero il nome utente?
consulto_medico	Posso confrontarmi con un medico per l'assunzione di enterogermina?
codice_fiscale	inserimento codice fiscale
errore_credenziali	Mi dice che le mie credenziali sono sbagliate come faccio?
device_diversi_sincronizzati	Avere più device su stesso portale
lista_preferiti	Vorrei fare la mia lista
errore_aggiunta_carrello	Volevo cancellare alcune cose dal carrello ma non riesco a farlo
contatti	Vorrei il numero verde assistenza clienti
scaricare_app	vorrei scarica la vostra applicazione
privacy	Tutela privacy info e norme?
esito_ordine	Come faccio a capire l'esito del mio ordine?
cancellazione_account	Come cancello l'app?
orari_negozi	siete aperti domani?
esito_ordine	come capisco l'esito del mio ordine?
modifica_password	Info modifica password
consegna_piano	Spesa a casa ?
cancellare_registrazione	Dove mi cancello dal sito?
citta_consegna	Vorrei sapere se a Caltanissetta portate la spesa a domicilio
fare_spesa	indicazioni per fare la spesa
familiari	Mi sai dire se posso inserire i miei figli nei familiari?
errore_password	Vorrei inserire la mia nuova password ma non riesco
catalogo_premi	premi raccolta punti
errore_password	Password errata
promemoria	Attivare promemoria
errore_pagamento	mi è stata addebitata la spesa più volte
vaccini_viaggi	che vaccino devo fare per andare in africa?
fasce_orarie_consegna_a_casa	Dove trovo gli orari di consegna a casa?
cancellazione_account	Come faccio a cancellare Uwell
promemoria	Vorrei attivare un promemoria per ogni singolo farmaco
provenienza_spesa	Da quale supermercato mi verrà spedita la spesa ?
estero	Mi sai dire se posso inviare i vostri farmaci in farmacie estere ?
scontrino_fiscale	la farmacia deve emettere lo scontrino fiscale?
servizio_di_consegna	chi paga il servizio di consegna e quali sono i costi?
carta_fedelta_inserimento	Posso inserire la mia carta fedeltà sul sito?
ricerca_prodotti	Danacol Danon
cancellazione_account	Dove trovo la sezione di cancellazione account?
lista_preferiti	Posso salvare i miei prodotti preferiti?
ricetta	mi serve una ricetta con zucchine e pomodori
accesso_limitato	Cliccando sul telefono su un articolo mi compare la scritta accesso limitato. é un problema mio o di impostazioni o di app?
cambiare_email	Come posso cambiare e mail?
complimenti	la adoro
device_diversi_sincronizzati	Come posso sincronizzare device diversi?
consulto_medico	Non riesco a dormire subito
promozioni	Non trovo le promo online
new_covid_19	Cos'è il coronavirus?
contatti_punti_vendita	Contatti punti vendita
farmacia_preferita	Ho problemi di inserimento della mia farmacia preferita anche se mi compare come opzione della mia zona
prodotti_non_disponibili	Ho ordinato dei prodotti che non sono più disponibili
limite_minimo	Vi è un limite minimo di spesa?
cancellare_registrazione	Non voglio più essere iscritto
modifica_ordine	come si cancella un prodotto aggiunto al carrello?
modalita_pagamento	Accettate Postepay
reso_prodotti	Il prodotto che ho ricevuto è avariato
contatti	Come posso contattarvi?
esito_ordine	Registrazione ordine
annullare_ordine	Voglio disdire l'ordine 
consulto_medico	sono allergica al glutine
contatti_punti_vendita	Avrei bisogno del telefono del negozio
addebito_bancario_spesa	Ho ricevuto due email di addebito bancario della spesa che vuol dire ?
carta_fedelta_inserimento	come inserisco nell'acquisto la carta crai
registrazione_senza_carta	Posso registrarmi con la carta fedeltà?
contenuti_blog	posso ricevere contenuti via mail?
consulto_medico	Quante ore dovrei dormire?
registrazione_senza_email	è possibile effettuare la registrazione senza email?
operatore	vorrei parlare
orari_negozi	ritiro prodotti in negozio in che fasce orarie
cambiare_orario_consegna	Vorrei modificare l'orario della consegna della spesa
email_modifica	Devo comunicare una nuova email come faccio?
coupon_omaggio	Vorrei scaricare il coupon omaggio come faccio?
prezzo_prodotti	I vostri prodotti hanno lo stesso prezzo delle farmacie fisiche?
lista_farmaci_consegna_a_domicilio	quali tipi di medicinali consegnate
lista_farmaci_consegna_a_domicilio	Sai dirmi quali farmaci posso acquistare e quali no?
reso_prodotti	I pomodori sono scaduti,cosa posso fare?
problema_consegna	Mi dice che la consegna non può essere effettuata in giornata
email_conferma_registrazione	Non arriva la mail di conferma iscrizione e quindi non ho la password
iniziative_commerciali	Vorremmo proporvi una collaborazione
promozioni	Come scopro le promo attive?
tracking	Quando arriva la mia spesa on line?
costo_servizio	costo app google play?
operatore	contattare un operatore
modifica_dati_anagrafici	Non mi è possibile reinserire i miei dati come farmacia della zona
collaborazioni	Mi sai dire come posso collaborare con voi?
modifica_ordine	Vorrei cambiare l'indirizzo di consegna
errore_schermata_indisponibile	Mi dice schermata indisponibile
citta_consegna	copertura del servizio
info_registrazione	Dove scrivo i miei dati per registrarmi?
errore_conclusione_ordine	mi è arrivata una mail con spesa annullata
controindicazioni	Vorrei sapere dove posso trovare il foglietto illustrativo
ticket	vorrei pagare tramite ticket
codice_sconto	Come si usa il buono sconto?
cambiare_orario_consegna	Vorrei posticipare la consegna
errore_password	Ho problemi con il reinserimento della password
accesso_limitato	Che faccio se mi compare la scritta accesso limitato ?
no_corrispondenza_prodotti	é possibile che un prodotto sia disponibile online ma non in negozio?
fare_spesa	fare la spesa su crai online
sconti_non_applicati	sconto su una spesa di 60 euro
errore_aggiunta_familiare	Come posso aggiungere un familiare alla mia lista?
limite_minimo	Qual è il limite minimo di spesa?
registrazione_senza_email	Vorrei registrarmi al servizio ma non ho la mail
annullare_ordine	devo annullare la consegna mi può aiutare?
catalogo_premi	raccolta punti
new_covid_19	Cos'è il covid-19?
errore_conclusione_ordine	é bloccato su vai alla cassa
registrazione_senza_carta	Posso iscrivermi anche se non ho la carta?
codice_sconto	Codice sconto di 5 euro
info_registrazione	Come faccio a registrarmi?
registrazione_utenti	Mi spieghi come posso utilizzare il vostro servizio?
fattura	Vorrei la fattura
annullare_ordine	voglio annullare tutto
fattura_elettronica	info richiesta e-fatture
errore_pagamento	non mi fa inserire la carta di credito per pagare
errore_chiusura	Sai dirmi come chiudere il tutto?
errore_apertura_pagina	Non riesco ad aprire le pagine
email_conferma_registrazione	Non ho mai ricevuto l'email di conferma
password_dimenticata	Ho scordato la password!
sconti_non_applicati	Al momento del pagamento della spesa sull'app lo sconto di 10€ che c'è adesso non mi viene fatto.Perché
esito_ordine	 vorrei sapere se e' andato a buon fine l'ordine
email_modifica	come cambio indirizzo mail
fare_spesa	vorrei non perdere le cose che ho messo già nel carrello
errore_conclusione_ordine	Ho provato a concludere l'ordine ma non riesco
scontrino_fiscale	se ordino con uwell mi arriva lo scontrino?
errore_schermata_indisponibile	Ho problemi con accesso alla schermata
errore_password	credenziali errate
consegna_costo	consegna a casa info costi
errore_aggiunta_carrello	alcuni prodotti non li fa mettere nel carrello
promozioni	Volantino e crai online non sono gli stessi
contatti_punti_vendita	Punti vendita lista email e telefono
errore_codice_fiscale	problema con codice fiscale
errore_credenziali	Come faccio ad accedere con le mie credenziali , mi da sempre errore
errore_registrazione_app	non riesco a registrarmi mi da un error server
hr	Siete alla ricerca di personale?
registrazione_utenti	Come faccio ad utilizzare il vostro servizio?
